start,stop,ID
0,30,0
30,48,16
48,49,15
49,50,16
50,59,15
59,98,16
98,99,17
99,104,16
104,107,17
107,113,16
113,121,15
121,135,5
135,167,0
167,170,12
170,172,0
172,180,11
180,181,0
181,182,11
182,183,13
183,190,11
190,195,4
195,196,6
196,197,4
197,205,0
205,214,3
214,239,0
239,261,9
261,264,4
264,269,0
269,283,3
283,463,0
463,469,16
469,470,15
470,505,16
505,506,15
506,513,16
513,515,5
515,517,16
517,519,5
519,520,3
520,522,5
522,523,8
523,675,0
675,676,4
676,677,1
677,678,6
678,680,1
680,684,6
684,689,0
689,690,11
690,710,6
710,721,4
721,726,6
726,727,4
727,733,0
733,735,3
735,744,4
744,962,0
962,963,11
963,966,6
966,967,11
967,968,7
968,969,6
969,970,3
970,971,7
971,980,13
980,981,4
981,988,9
988,995,4
995,997,0
997,998,4
998,999,3
999,1000,4
1000,1013,3
1013,1016,8
1016,1019,6
1019,1023,4
1023,1096,0
1096,1099,18
1099,1100,14
1100,1101,18
1101,1110,14
1110,1116,1
1116,1148,2
1148,1149,7
1149,1154,14
1154,1155,19
1155,1156,9
1156,1170,14
1170,1176,0
1176,1182,9
1182,1337,0
1337,1338,3
1338,1348,0
1348,1356,4
1356,1357,1
1357,1359,4
1359,1360,14
1360,1361,8
1361,1362,14
1362,1377,8
1377,1380,3
1380,1401,4
1401,1402,3
1402,1450,0
1450,1471,10
1471,1473,13
1473,1486,10
1486,1501,4
1501,1502,3
1502,1503,0
1503,1511,3
1511,1654,0
1654,1655,9
1655,1660,14
1660,1661,9
1661,1664,14
1664,1666,9
1666,1667,14
1667,1675,9
1675,1676,14
1676,1683,9
1683,1684,14
1684,1685,9
1685,1688,14
1688,1689,9
1689,1691,14
1691,1697,9
1697,1700,3
1700,1758,0
1758,1763,18
1763,1767,9
1767,1784,19
1784,1785,18
1785,1787,19
1787,1788,9
1788,1789,19
1789,1796,9
1796,1797,0
1797,1799,9
1799,1835,0
1835,1841,3
1841,1844,13
1844,1847,0
1847,1848,13
1848,1869,4
1869,1888,3
1888,1892,0
1892,1899,13
1899,1902,4
1902,1908,13
1908,1926,4
1926,1938,3
1938,1954,0
1954,1961,16
1961,1973,15
1973,2014,17
2014,2015,15
2015,2019,5
2019,2024,15
2024,2025,5
2025,2190,0
2190,2191,5
2191,2199,0
2199,2200,14
2200,2201,0
2201,2202,14
2202,2214,9
2214,2215,19
2215,2226,9
2226,2227,18
2227,2228,2
2228,2229,18
2229,2230,5
2230,2231,9
2231,2248,5
2248,2249,9
2249,2250,16
2250,2251,5
2251,2252,16
2252,2253,9
2253,2254,19
2254,2255,9
2255,2261,19
2261,2265,9
2265,2266,4
2266,2269,9
2269,2274,0
2274,2280,9
2280,2281,3
2281,2283,9
2283,2284,0
2284,2288,3
2288,2321,0
2321,2322,5
2322,2376,15
2376,2377,5
2377,2412,0
2412,2413,12
2413,2415,0
2415,2419,3
2419,2423,11
2423,2424,0
2424,2429,13
2429,2430,11
2430,2444,13
2444,2447,4
2447,2449,13
2449,2472,4
2472,2481,3
2481,2501,0
2501,2510,5
2510,2527,18
2527,2528,19
2528,2534,18
2534,2535,19
2535,2536,18
2536,2537,19
2537,2538,18
2538,2551,19
2551,2553,9
2553,2555,0
2555,2566,9
2566,2634,0
2634,2644,13
2644,2645,10
2645,2649,13
2649,2656,10
2656,2673,7
2673,2677,12
2677,2678,10
2678,2681,12
2681,2686,14
2686,2690,3
2690,2708,4
2708,2712,0
2712,2715,3
2715,2716,0
2716,2717,3
2717,2775,0
2775,2776,11
2776,2779,4
2779,2780,13
2780,2781,4
2781,2784,13
2784,2785,4
2785,2786,13
2786,2803,4
2803,2806,0
2806,2809,4
2809,2815,0
2815,2820,3
2820,2971,0
2971,2992,4
2992,3040,0
